"" "means"
"1" 5629.39 0.0799964
"2" 5635.12 0.0829868
"3" 5640.85 0.08694105
"4" 5646.58 0.09115725
"5" 5652.31 0.09425675
"6" 5658.04 0.099102
"7" 5663.77 0.1047577
"8" 5669.5 0.1081394
"9" 5675.23 0.1136811
"10" 5680.96 0.1215877
"11" 5686.69 0.12923835
"12" 5692.42 0.13851315
"13" 5698.15 0.14576215
"14" 5703.88 0.1571252
"15" 5709.61 0.16743535
"16" 5715.34 0.1813082
"17" 5721.07 0.1935777
"18" 5726.8 0.2111401
"19" 5732.53 0.22705885
"20" 5738.26 0.24782295
"21" 5743.99 0.26788435
"22" 5749.72 0.28800395
"23" 5755.45 0.31025425
"24" 5761.18 0.332934
"25" 5766.91 0.35745945
"26" 5772.64 0.3862633
"27" 5778.37 0.4106175
"28" 5784.1 0.44095975
"29" 5789.83 0.47672315
"30" 5795.56 0.508845
"31" 5801.29 0.5371054
"32" 5807.02 0.574635
"33" 5812.75 0.60891255
"34" 5818.48 0.64260555
"35" 5824.21 0.6757629
"36" 5829.94 0.7078799
"37" 5835.67 0.745459
"38" 5841.4 0.77550475
"39" 5847.13 0.8032776
"40" 5852.86 0.8331803
"41" 5858.59 0.86005275
"42" 5864.32 0.8842287
"43" 5870.05 0.90925115
"44" 5875.78 0.9193308
"45" 5881.51 0.94181455
"46" 5887.24 0.9485317
"47" 5892.97 0.9568771
"48" 5898.7 0.95920725
